部族表

司馬遷作《史記》，敘四裔於篇末。秦、漢以降，各有其國。延續疆此界，道里雲邈。不能混一寰宇，周知種落，鄰國聘貢往來，焉能歷覽。或口傳意記，模寫梗概耳。

遼接五代，漢地遠近，載諸簡冊可考。西北沙漠之地，樹藝五穀，衣服車馬禮文，制度文為，士產品物，得其粗而失其精。部落之名，姓氏之號，得其音而未得其字。歷代踵訛，艱於考索。

遼氏與諸部相通，往來朝貢，及西遼所至之地，見於《紀》、《傳》亦豈少也哉。其事則書於《紀》，部族則列於《表》雲。

部族表
紀年	正月	二月	三月	四月	五月	六月	七月	八月	九月	十月	十一月	十二月
太祖元年	黑車子室韋八部降。	　	　	　	　	　	　	　	　	討黑車子室韋。	　	　
二年	　	　	　	　	皇弟惕隱撒剌討烏丸及黑車子室韋。	　	　	　	　	　	　	　
三年	　	　	　	　	　	　	　	　	　	討黑車子室韋，破之。西北嗢娘改部族進牽車人。	　	　
四年	　	　	　	　	　	　	　	　	　	烏馬山奚庫支及查剌底、鋤勃德等部叛，討平之。	　	　
五年	西奚部、東奚部叛，討平之。	　	　	　	　	　	　	　	　	　	　	　
神冊元年	　	　	　	　	　	　	征突厥、党項、小蕃、沙陀諸部，破降之。	　	　	　	　	　
三年	皇弟安端為惕隱，攻西南諸部。	　	　	　	　	　	　	　	　	　	　	　
四年	　	　	　	　	　	　	　	　	征烏古部。	　	　	　
六年	　	　	皇太子暨諸將分擊部落，以烏古、奚為圖盧、涅離、奧畏三部。	　	　	　	　	　	　	　	　	　
天贊元年	　	　	　	　	　	擊西南諸部。	　	　	　	分迭剌部為二院。	　	　
二年	　	　	討奚胡損，獲之，置奚墮瑰部。	　	　	　	　	　	　	　	　	　
三年	　	　	　	　	　	　	擊山東部族，破之。	　	破胡母思山蕃部。	　	　	　
天顯元年	　	奚部長勃魯恩、王郁從征有功，賞之。	安邊、鄚頡、定理三府叛，討之。	　	　	　	　	　	　	　	　	　
三年太宗不改元	　	　	　	　	突呂不討烏古部。	　	　	　	突呂不獻烏古俘。	　	鼻骨德來貢。	　
四年	　	　	　	　	　	突呂不獻烏古俘。	　	　	　	　	　	　
五年	　	　	　	　	　	敵烈來貢。	烏古來貢。	　	　	　	　	　
六年	敵烈來貢。	　	　	　	　	烏古來貢。	　	鼻骨德來貢。	　	　	　	　
七年	　	　	　	　	　	烏古、敵烈來貢。	　	　	　	　	　	　
九年	　	　	　	　	　	鼻骨德來貢。	　	　	　	　	　	　
十一年	　	　	　	　	　	鼻骨德來貢。	于厥里來貢。	　	　	　	　	　
十二年	　	　	　	　	　	　	　	　	鼻骨德來貢。	　	　	　
會同元年	　	室韋進白麃。	　	　	　	　	　	　	黑車子室韋貢名馬。	　	　	　
三年	烏古獻伏鹿國俘。	　	　	　	　	　	　	黑車子室韋來貢。	朮不姑三部人來貢。	　	　	　
四年	涅剌、烏隗二部上党項俘獲。乙室、品、突舉三部上党項俘獲。	烏古來貢。于厥里來貢。	　	　	　	阿里底來貢。	　	　	　	　	朮不姑來貢。女直來貢。	　
五年	　	鼻骨德來貢。	　	　	　	　	鼻骨德、烏古來貢。朮不姑、鼻骨德、于厥里來貢。	　	　	　	　	　
六年	　	　	　	　	　	奚鋤勃德部進白麝。	　	　	　	　	　	　
七年	　	　	　	　	黑車子室韋來貢。	　	　	　	　	鼻骨德	　	　
八年	　	　	　	　	　	鼻骨德來貢。黑車子室韋來貢。	　	鼻骨德來貢。	　	　	　	　
