《漢興以來將相名臣年表》 Yearly Table of Statesmen, Generals and Officials since the Han Dynasty's Founding

公元前	紀年	大事紀。	相位。	將位。	御史大夫位。
206	高皇帝元年	春，沛公為漢王，之南鄭。秋，還定雍。	一。丞相蕭何守漢中。		御史大夫周苛守滎陽。
205	二	春，定塞、翟、魏、河南、韓、殷國。夏，伐項籍，至彭城。立太子。還據滎陽。	二。守關中。	一。太尉長安侯盧綰。	
204	三	魏豹反。使韓信別定魏，伐趙。楚圍我滎陽。	三	二	
203	四	使韓信別定齊及燕，太公自楚歸，與楚界洪渠。	四	三。周苛守滎陽，死。	御史大夫汾陰侯周昌。
202	五	冬，破楚垓下，殺項籍。春，王踐皇帝位定陶。。入都關中。	五。罷太尉官。	四。後九月，綰為燕王。	
201	六	尊太公為太上皇。劉仲為代王。立大市。更命咸陽曰長安。	六。封為酇侯。。張蒼為計相。		
200	七	長樂宮成，自櫟陽徙長安。伐匈奴，匈奴圍我平城。	七		
199	八	擊韓信反虜於趙城。貫高作亂，明年覺，誅之。匈奴攻代王，代王棄國亡，廢為郃陽侯。	八		
198	九	未央宮成，置酒前殿，太上皇輦上坐，帝奉玉卮上壽，曰：「始常以臣不如仲力，今臣功孰與仲多？」太上皇笑，殿上稱萬歲。徙齊田，楚昭、屈、景于關中。	九。遷為相國。		御史大夫昌為趙丞相。
197	十	太上皇崩。陳豨反代地。	十		御史大夫江邑侯趙堯。
196	十一	誅淮陰、彭越。黥布反。	十一	周勃為太尉。攻代。後官省。	
195	十二	冬，擊布。還過沛。夏，上崩，葬長陵。	十二		
194	孝惠元年	趙隱王如意死。始作長安城西北方。除諸侯丞相為相。	十三		
193	二	楚元王、齊悼惠王來朝。七月辛未，何薨。	十四。七月癸巳，齊相平陽侯曹參為相國。		
192	三	初作長安城。蜀湔氐反。擊之。	二		
191	四	三月甲子，赦，無所復作。	三		
190	五	為高祖立廟於沛城成，置歌兒一百二十人。八月乙丑，參卒。	四		
189	六	七月，齊悼惠王薨。立太倉、西市。	一。十月己巳，安國侯王陵為右丞相。曲逆侯陳平為左丞相。	堯抵罪。	廣阿侯任敖為御史大夫。
188	七	上崩。大臣用張辟彊計，呂氏權重，以呂台為呂王。立少帝。九月辛巳，葬安陵。	二		
187	高后元年	王孝惠諸子。置孝悌力田。	三。十一月甲子，徙平為右丞相。辟陽侯審食其為左丞相。		
186	二	十二月，呂王台薨，子嘉代立為呂王。行八銖錢。	四。平。二。食其。		平陽侯曹窋為御史大夫。。
185	三		五。三		
184	四	廢少帝，更立常山王弘為帝。	六。四。置太尉官。	一。絳侯周勃為太尉。	
183	五	八月，淮陽王薨，以其弟壺關侯武為淮陽王。令戍卒歲更。	七。五	二	
182	六	以呂產為呂王。四月丁酉，赦天下。晝昏。	八。六	三	
181	七	趙王幽死，以呂祿為趙王。梁王徙趙，自殺。	九。七	四	
180	八	七月，高后崩。九月，誅諸呂。後九月，代王至，踐皇帝位。後九月，食其免相。	十。七月辛巳，為帝太傅。九月壬戌，復為丞相。八	五。隆慮侯灶為將軍，擊南越。	御史大夫蒼。
179	孝文元年	除收孥相坐律。立太子。賜民爵。	十一。十一月辛巳，平徙為左丞相。太尉絳侯周勃為右丞相。	六。勃為相，潁陰侯灌嬰為太尉。	
178	二	除誹謗律。皇子武為代王，參為太原王，揖為梁王。十月，丞相平薨。	一。十一月乙亥，絳侯勃復為丞相。	一	
177	三	徙代王武為淮陽王。上幸太原。濟北王反。匈奴大入上郡。以地盡與太原，太原更號代。十一月壬子，勃免相，之國。	一。十二月乙亥，太尉潁陰侯灌嬰為丞相。罷太尉官。	二。棘蒲侯陳武為大將軍，擊濟北。昌侯盧卿、共侯盧罷師、甯侯鸱、深澤侯將夜皆為將軍，屬武祁侯賀，將兵屯滎陽。	
176	四	十二月己巳，嬰卒。	一。正月甲午，御史大夫北平侯張蒼為丞相。	安丘侯張說為將軍，擊胡，出代。	關中侯申屠嘉為御史大夫。
175	五	除錢律，民得鑄錢			
174	六	廢淮南王，遷嚴道，道死雍。	三		
173	七	四月丙子，初置南陵。	四		
172	八	太僕汝陰侯滕公卒。	五		
171	九	溫室鐘自鳴。以芷陽鄉為霸陵。	六		御史大夫敬。
170	十	諸侯王皆至長安。	七		
169	十一	上幸代。地動。	八		
168	十二	河決東郡金隄。徙淮陽王為梁王。	九		
167	十三	除肉刑及田租稅律、戍卒令。	十		
166	十四	匈奴大入蕭關，發兵擊之，及屯長安旁。	十一	成侯董赤、內史欒布、昌侯盧卿、隆慮侯灶、甯侯鸱皆為將軍，東陽侯張相如為大將軍，皆擊匈奴。中尉周舍、郎中令張武皆為將軍，屯長安旁。	
165	十五	黃龍見成紀。上始郊見雍五帝。	十二		
164	十六	上始郊見渭陽五帝。	十三		
163	後元年	新垣平詐言方士，覺，誅之。	十四		
