《十二諸侯年表》 Yearly Chronicle of the Feudal Lords

太史公讀春秋歷譜諜，至周厲王，未嘗不廢書而嘆也。曰：鳴呼，師摯見之矣！紂為象箸而箕子唏。周道缺，詩人本之衽席，關雎作。仁義陵遲，鹿鳴刺焉。及至厲王，以惡聞其過，公卿懼誅而禍作，厲王遂奔于彘，亂自京師始，而共和行政焉。是後或力政，彊乘弱，興師不請天子。然挾王室之義，以討伐為會盟主，政由五伯，諸侯恣行，淫侈不軌，賊臣篡子滋起矣。齊、晉、秦、楚其在成周微甚，封或百里或五十里。晉阻三河，齊負東海，楚介江淮，秦因雍州之固，四海迭興，更為伯主，文武所褒大封，皆威而服焉。是以孔子明王道，干七十餘君，莫能用，故西觀周室，論史記舊聞，興於魯而次春秋，上記隱，下至哀之獲麟，約其辭文，去其煩重，以制義法，王道備，人事浹。七十子之徒口受其傳指，為有所刺譏褒諱挹損之文辭不可以書見也。魯君子左丘明懼弟子人人異端，各安其意，失其真，故因孔子史記具論其語，成左氏春秋。鐸椒為楚威王傳，為王不能盡觀春秋，采取成敗，卒四十章，為鐸氏微。趙孝成王時，其相虞卿上采春秋，下觀近勢，亦著八篇，為虞氏春秋。呂不韋者，秦莊襄王相，亦上觀尚古，刪拾春秋，集六國時事，以為八覽、六論、十二紀，為呂氏春秋。及如荀卿、孟子、公孫固、韓非之徒，各往往捃摭春秋之文以著書，不同勝紀。漢相張蒼歷譜五德，上大夫董仲舒推春秋義，頗著文焉。

公元前	年	周	魯	齊	晉	秦	楚	宋	衛	陳	蔡	曹	鄭	燕	吳
841	庚申	共和元年厲王子居召公宮，是為宣王。王少，大臣共和行政。	真公濞十五年，一云十四年	武公壽十年	靖侯宜臼十八年	秦仲四年	熊勇
七年	釐公十八年	釐侯十四年	幽公寧十四年	武侯二十三年	夷伯二十四年		惠侯二十四年	
840		二	十六	十一	晉釐侯司徒元年	五	八	十九	十五	十五	二十四	二十五		二十五	
839		三	十七	十二	二	六	九	二十	十六	十六	二十五	二十六		二十六	
838		四	十八	十三	三	七	十	二十一	十七	十七	二十六	二十七		二十七	
837	甲子	五	十九	十四	四	八	楚熊嚴元年	二十二	十八	十八	蔡夷侯元年	二十八		二十八	
836		六	二十	十五	五	九	二	二十三	十九	十九	二	二十九		二十九	
835		七	二十一	十六	六	十	三	二十四	二十	二十	三	三十		三十	
834		八	二十二	十七	七	十一	四	二十五	二十一	二十一	四	曹幽伯彊元年		三十一	
833		九	二十三	十八	八	十二	五	二十六	二十二	二十二	五	二		三十二	
832		十	二十四	十九	九	十三	六	二十七	二十三	二十三	六	三		三十三	
831		十一	二十五	二十	十	十四	七	二十八	二十四	陳釐公孝元年	七	四		三十四	
830		十二	二十六	二十一	十一	十五	八	宋惠公鲒元年	二十五	二	八	五		三十五	
829		十三	二十七	二十二	十二	十六	九	二	二十六	三	九	六		三十六	
828		十四宣王即位，共和罷。

二十八	二十三	十三	十七	十	三	二十七	四	十	七		三十七	
827	甲戌	宣王元年	二十九	二十四	十四	十八	楚熊霜元年	四	二十八	五	十一	八		三十八	
826		二	三十	二十五	十五	十九	二	五	二十九	六	十二	九		燕釐侯莊元年	
