《六國年表》 Yearly Chronicle of the Six States

太史公讀秦記，至犬戎敗幽王，周東徙洛邑，秦襄公始封為諸侯，作西畤用事上帝，僭端見矣。《禮》曰：「天子祭天地，諸侯祭其域內名山大川。」今秦雜戎翟之俗，先暴戾，後仁義，位在藩臣而臚於郊祀，君子懼焉。及文公踰隴，攘夷狄，尊陳寶，營岐雍之閒，而穆公修政，東竟至河，則與齊桓、晉文中國侯伯侔矣。是後陪臣執政，大夫世祿，六卿擅晉權，征伐會盟，威重於諸侯。及田常殺簡公而相齊國，諸侯晏然弗討，海內爭於戰功矣。三國終之卒分晉，田和亦滅齊而有之，六國之盛自此始。務在彊兵并敵，謀詐用而從衡短長之說起。矯稱蜂出，誓盟不信，雖置質剖符猶不能約束也。秦始小國僻遠，諸夏賓之，比於戎翟，至獻公之後常雄諸侯。論秦之德義不如魯衛之暴戾者，量秦之兵不如三晉之彊也，然卒并天下，非必險固便形勢利也，蓋若天所助焉。

或曰「東方物所始生，西方物之成孰」。夫作事者必於東南，收功實者常於西北。故禹興於西羌，湯起於亳，周之王也以豐鎬伐殷，秦之帝用雍州興，漢之興自蜀漢。

秦既得意，燒天下詩書，諸侯史記尤甚，為其有所刺譏也。詩書所以復見者，多藏人家，而史記獨藏周室，以故滅。惜哉，惜哉！獨有秦記，又不載日月，其文略不具。然戰國之權變亦有可頗采者，何必上古。秦取天下多暴，然世異變，成功大。傳曰「法後王」，何也？以其近己而俗變相類，議卑而易行也。學者牽於所聞，見秦在帝位日淺，不察其終始，因舉而笑之，不敢道，此與以耳食無異。悲夫！

余於是因秦記，踵春秋之後，起周元王，表六國時事，訖二世，凡二百七十年，著諸所聞興壞之端。後有君子，以覽觀焉。

公元前476	周元王元年。。	秦厲共公元年。	魏獻子。衛出公輒後元年。	韓宣子	趙簡子。四十二。	楚惠王章十三年。。。吳伐我。	燕獻公十七年。	齊平公驁五年。
475	二	二。蜀人來賂。	晉定公卒。		四十三	十四。越圍吳，吳怨。	十八	六
474	三	三	晉出公錯元年。		四十四	十五	十九	七。越人始來。
473	四	四			四十五	十六。越滅吳。	二十	八
472	五	五。楚人來賂。			四十六	十七。蔡景侯卒。	二十一	九。晉知伯瑤來伐我。
471	六	六。義渠來賂。綿諸乞援。			四十七	十八。蔡聲侯元年。	二十二	十
470	七	七。彗星見。	衛出公飲，大夫不解襪，公怒，即攻公，公奔宋。		四十八	十九。王子英奔秦。	二十三	十一
469	八	八			四十九	二十	二十四	十二
468	定王元年。。	九			五十	二十一	二十五	十三
467	二	十。庶長將兵拔魏城。彗星見。			五十一	二十二。魯哀公卒。	二十六	十四
466	三	十一			五十二	二十三。魯悼公元年。三桓勝，魯如小侯。	二十七	十五
465	四	十二			五十三	二十四	二十八	十六
464	五	十三		知伯伐鄭，駟桓子如齊求救。	五十四。知伯謂簡子，欲廢太子襄子，襄子怨知伯。	二十五	燕孝公元年	十七。救鄭，晉師去。中行文子謂田常：「乃今知所以亡。」
463	六	十四。晉人、楚人來賂。		鄭聲公卒。	五十五	二十六	二	十八
462	七	十五		鄭哀公元年。	五十六	二十七	三	十九
461	八	十六。塹阿旁。伐大荔。補龐戲城。			五十七	二十八	四	二十
460	九	十七			五十八	二十九	五	二十一
459	十	十八			五十九	三十	六	二十二
458	十一	十九			六十	三十一	七	二十三
457	十二	二十。公將師與綿諸戰。			襄子。元年未除服，登夏屋，誘代王，以金斗殺代王。封伯魯子周為代成君。	三十二。蔡聲侯卒。	八	二十四
456	十三	二十一	晉哀公忌元年。		二	三十三。蔡元侯元年。	九	二十五
455	十四	二十二	衛悼公黔元年。		三	三十四	十	齊宣公就匝元年。
454	十五	二十三			四。與智伯分范、中行地。	三十五	十一	二
453	十六	二十四	魏桓子敗智伯于晉陽。	韓康子敗智伯于晉陽。	五。襄子敗智伯晉陽，與魏、韓三分其地。	三十六	十二	三
452	十七	二十五。晉大夫智開率其邑來奔。			六	三十七	十三	四
451	十八	二十六。左庶長城南鄭。			七	三十八	十四	五。宋景公卒。。
450	十九	二十七	衛敬公元年。		八	三十九。蔡侯齊元年。	十五	六。宋昭公元年。
449	二十	二十八。越人來迎女。			九	四十	燕成公元年	七
448	二十一	二十九。晉大夫智寬率其邑人來奔。			十	四十一	二	八
447	二十二	三十			十一	四十二。楚滅蔡。	三	九
446	二十三	三十一			十二	四十三	四	十
445	二十四	三十二			十三	四十四。滅杞。杞，夏之後。	五	十一
444	二十五	三十三。伐義渠，虜其王。			十四	四十五	六	十二
443	二十六	三十四。日蝕，晝晦。星見。			十五	四十六	七	十三
442	二十七	秦躁公元年			十六	四十七	八	十四
441	二十八	二。南鄭反。			十七	四十八	九	十五
440	考王元年。	三			十八	四十九	十	十六
439	二	四			十九	五十	十一	十七
438	三	五			二十	五十一	十二	十八
437	四	六	晉幽公柳元年。服韓、魏。		二十一	五十二	十三	十九
436	五	七			二十二	五十三	十四	二十
435	六	八。六月，雨雪。日、月蝕。			二十三	五十四	十五	二十一
434	七	九			二十四	五十五	十六	二十二
433	八	十			二十五	五十六	燕湣公元年	二十三
432	九	十一			二十六	五十七	二	二十四
431	十	十二	衛昭公元年。		二十七	楚簡王仲元年。滅莒。	三	二十五
430	十一	十三。義渠伐秦，侵至渭陽。			二十八	二	四	二十六
429	十二	十四			二十九	三。魯悼公卒。	五	二十七
428	十三	秦懷公元年。生靈公。			三十	四。魯元公元年。	六	二十八
