表第五 方鎮表二
西元		滑衛	河南	鄭陳	淮南西道	徐海沂密	青密	北都
710	景雲元年							
711	二年							北都長史領持節和戎、大武等諸軍州節度使。
712	先天元年							
713	開元元年							
714	二年							
715	三年							
716	四年							
717	五年							領天兵軍大使。
718	六年							
719	七年							
720	八年							更天兵軍大使為天兵軍節度使。
721	九年							
722	十年							
723	十一年							更天兵軍節度為太原府以北諸軍州節度、河東道支度營田使兼北都留守，領太原及遼、石、嵐、汾、代、忻、朔、蔚、雲九州，治太原。
724	十二年							
725	十三年							
726	十四年							
727	十五年							
728	十六年							
729	十七年							以儀、石二州隸潞州都督。
730	十八年							更太原府以北諸軍州節度為河東節度。自後節度使領大同軍使，副使以代州刺史領之，復領儀、石二州。
731	十九年							
732	二十年							
733	二十一年							
734	二十二年							
735	二十三年							
736	二十四年							
737	二十五年							
738	二十六年							
739	二十七年							
740	二十八年							
741	二十九年							
742	天寶元年							
743	二年							
744	三載							
745	四載							
746	五載							
747	六載							
748	七載							
749	八載							
750	九載							
751	十載							
752	十一載							
753	十二載							
754	十三載							
755	十四載							
756	至德元載		置河南節度使，治汴州，領郡十三：陳留、睢陽、靈昌、淮陽、汝陰、譙、濟陰、濮陽、淄川、琅邪、彭城、臨淮、東海。		置淮南西道節度使，領義陽、弋陽、潁川、滎陽、汝南五郡，治潁川郡。		置青密節度使，領北海、高密、東牟、東萊四郡，治北海郡。置鄆、齊、兗三州都防禦使，治齊州。	
757	二載							
758	乾元元年		廢河南節度使，置汴州都防禦使，領州十三如故；尋以滑、濮二州隸青密節度，亳州隸淮西節度。		淮南西道節度徙治鄭州，增領陳、潁、亳三州，別置豫許汝節度使，治豫州。		青密節度增領滑、濮二州。	
759	二年		廢汴州都防禦使，置汴滑節度使，治滑州，領州五：滑、濮、汴、曹、宋。又置河南節度使，治徐州，領州五：徐、泗、海、亳、潁。未幾，潁州隸鄭陳節度，尋復領潁 州。是年，又以濮州隸兗鄆節度，潁、亳二州隸鄭陳節度。	置鄭陳節度使，領鄭、陳、亳、潁四州，治鄭州，尋增領申、光、壽三州；未幾，以三州隸淮西。	廢淮南西道節度使，以陳、潁、亳隸陳鄭。是年，復置淮南西道節度使，領申、光、壽、安、沔、蘄、黃七州，治壽州。		青密節度使增領淄、沂、海三州。滑州隸汴滑節度使，濮州隸鄆齊兗節度使。是年以海州隸汴滑節度。
升鄆、齊、兗三州都防禦使為節度使，治兗州，增領濮州，尋以濮州隸河南節度。

760	上元元年		以海州隸青密節度。				海州復隸青密節度。	
761	二年	置滑衛節度使，治滑州，領州六：滑、衛、相、魏、德、貝。尋以德州隸淄沂節度而增領博州。	廢汴滑、河南二節度，以徐、泗、汴、宋、曹五州隸淮西節度，滑州隸滑衛節度。	廢鄭陳節度，以鄭、陳、亳、潁四州隸淮西。	淮南西道節度使增領陳、鄭、潁、亳、汴、曹、宋、徐、泗九州，徙治安州，號淮西十六州節度使。尋以亳州隸滑衛節度，徐州隸兗鄆節度。		置淄沂節度使，領淄、沂、滄、德、棣五州，治沂州。平盧軍節度使侯希逸引兵保青州，授青密節度使，遂廢淄沂節度，並所管五州，號淄青平盧節度，增領齊州。以齊 州隸青密，而兗鄆節度增領徐州。	
762	寶應元年		復置河南節度使，治汴州，領州八：汴、宋、曹、徐、潁、兗、鄆、濮。		淮西節度增領許、隋、唐三州，以鄭州隸澤潞節度，潁、汴、宋、曹四州隸河南節度，泗州隸兗鄆節度，申州隸蔡汝節度。		登、萊、沂、海、泗五州隸兗鄆節度。是年，廢兗鄆節度，以鄆、兗、濮、徐四州隸河南節度，登、萊、沂、海、泗隸淄青平盧節度。	
763	廣德元年	滑衛節度增領亳州，更號滑亳節度使，增領德州。以衛州隸澤潞，析相、貝 別置節度，魏博別置防禦。					滄、德二州隸魏博節度。淄青平盧節度增領瀛州；未幾，瀛州復隸魏博節度 。	
764	二年							
765	永泰元年				沔、蘄、黃三州隸鄂岳節度。		淄青平盧節度增領押新羅渤海兩蕃使。	
766	大曆元年							
767	二年							
768	三年				蔡汝節度增領仙州。			
769	四年	滑亳節度增領陳州。	河南節度增領泗州，以潁州隸澤潞節度。				淄青平盧節度罷領海、沂、密三州，置海、沂、密三州都防禦使，尋廢，復以三州隸淄青平盧節度。	
770	五年				省仙州。			
771	六年							
772	七年	賜滑亳節度為永平節度。						
773	八年				淮西節度使徙治蔡州，廢蔡汝節度使，所管州皆隸淮西節度。			
774	九年							
775	十年						淄青平盧節度又領德州。	
776	十一年	永平節度增領宋、泗二州。	廢河南節度使，曹、兗、鄆、濮、徐五州隸淄青節度，宋、潁、泗三州隸永平軍節度，汴州隸淮西節度。		淮西節度使增領汴州，徙治汴州。		淄青平盧節度增領鄆、曹、濮、徐、兗五州，以泗州隸永平軍節度。	
777	十二年							
778	十三年							
779	十四年	永平節度增領汴、潁二州，徙治汴州。			淮西節度使復治蔡州，是年賜號淮寧軍節度，尋更號申光蔡節度使，汝州隸東都畿，汴州隸永平軍節度。			
780	建中元年							
781	二年	永平節度增領鄭州，析宋、亳、潁別置節度使，以泗州隸淮南。是年以鄭州隸河陽三城節度，既而復舊。	置宋亳潁節度使，治宋州，尋號宣武軍節度使。					
782	三年					置徐海沂密都團練觀察使，治徐州。	廢淄青平盧節度使，置淄青都團練觀察使，領淄、青、登、萊、齊、兗、鄆七州，治青州；置曹濮都團練觀察使，治濮州。	
783	四年							
784	興元元年	永平軍節度以汴、滑二州隸宣武軍，尋復領滑州，徙治滑州。	宣武軍節度使徒治汴州。		壽州別置觀察使。	廢徐海沂密都團練觀察使。	復置淄青平盧節度使，領青、淄、登、萊、齊、兗、鄆、徐、海、沂、密、曹、濮十三州，治青州，廢曹濮都團練觀察使。	賜河東節度號保寧軍節度。
785	貞元元年	永平軍節度更號義成軍節度，增領許州。			唐州隸東都畿，許州隸義成軍節度。			
786	二年							
787	三年	以許州隸陳許節度使。		置陳許節度使，治許州。	安州隸山南東道。			保寧軍節度復為河東節度。
788	四年					置徐、泗、濠三州節度使，治徐州。	淄青平盧節度使徙治鄆州，以徐州隸徐泗節度。	
789	五年							
790	六年							
791	七年							
792	八年							
793	九年							
794	十年			陳許節度賜號忠武軍節度。				
795	十一年							
796	十二年							
797	十三年							
798	十四年				申光蔡節度賜號彰義軍節度。			
799	十五年							
800	十六年					廢徐、泗、濠三州節度使，未幾，復置泗、濠二州觀察使，隸淮南。
徐州領本州留後。

801	十七年							
802	十八年							
803	十九年							
804	二十年							
805	永貞元年							
806	元和元年							
807	二年					廢泗、濠二州觀察使，置武寧軍節度使，治徐州，領徐、泗、濠三州。		
808	三年							
809	四年					武寧軍節度增領宿州。		
810	五年							
811	六年							
812	七年							
813	八年							
814	九年							
