Corpus	Query	Terms	Scoped	Rank	Title	Link	Sim Title	Sim Words	Sim Bigrams	Bit Vector	Exact Match	ContainsTerms	Relevant
hbreader.org	一腳印	2	FALSE	1	A Footprint with Every Step  一步一腳印	http://hbreader.org/wenji/miyun_shengming67.html	1	1	1	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	2	Chapter 1: Don't be Lacking - One Step, One Foot 卷一　不可缺 一步一腳印	http://hbreader.org/wenji/wanshi07002.html	1	0.987608	0.968682	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	3	Chapter 3: Unbounded Creativity - Footprints 卷三　創意無限 ■腳印	http://hbreader.org/wenji/wanshi08066.html	0	0.976419	0.853587	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	4	Chapter 4: The Beauty of Transcendence - History 卷四　超越之美 ■歷史	http://hbreader.org/wenji/wanshi09084.html	0	0.875465	0.57064	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	5	Being Humble 低　頭	http://hbreader.org/wenji/miyun_heziji07.html	0	0.577605	0.591299	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	6	In Every Trade, a Master Appears 行行出狀元	http://hbreader.org/wenji/miyun_gaochu53.html	0	0.574379	0.588432	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	7	Diligence for the Ordinary 拙處力行	http://hbreader.org/wenji/miyun_shengming58.html	0	0.572671	0.585188	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	8	The Inspiration of Shoes 鞋子的啟示	http://hbreader.org/wenji/miyun_fubao59.html	0	0.571643	0.58378	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	9	Prefaces - A World of Buddha’s Light “Transmission of the Lamp” Preface by Hsing Yun, Republic 序 ■佛光世界《傳燈》序　　民國‧高希均	http://hbreader.org/wenji/fojiaocongshu09156.html	0	0.698129	0.540843	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	10	Market Price Indicators 行情表	http://hbreader.org/wenji/miyun_fubao31.html	0	0.569378	0.582379	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	11	Scroll 3: Development of the Self - Self Improvement 卷三 開發自我 改善自己	http://hbreader.org/wenji/dharmawords7069.html	0	0.564321	0.576842	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	12	Scroll 1: The Essentials of Handling Affairs - Establishment of an Undertaking 卷一 處事之要 立業成功	http://hbreader.org/wenji/dharmawords8030.html	0	0.561917	0.575474	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	13	Grand Dreams 春秋大夢	http://hbreader.org/wenji/miyun_fubao63.html	0	0.559335	0.570832	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	14	Scroll 2 The Path of Cultivation: The Path of Honesty and Sincerity 卷二 修行之道 厚實之道	http://hbreader.org/wenji/dharmawords1063.html	0	0.553553	0.565888	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	15	Chapter 1: Life's Stations - Cannot Make a Mistake 卷一　人生的站 ■不能錯	http://hbreader.org/wenji/wanshi10012.html	0	0.552581	0.563634	1	1	一腳印	1
hbreader.org	一腳印	2	FALSE	16	Chapter 1: Life's Stations 卷一　人生的站 ■人生的站	http://hbreader.org/wenji/wanshi10007.html	0	0.551805	0.563261	1	1	一腳印	1
