
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1225	寶慶元年乙酉	史彌遠	　	四月己未，薛極端明殿學士、正議大夫、簽書樞密院事。十一月癸亥，宣繒自參知政事除同知樞密院事。薛極自簽書樞密院事除參知政事。葛洪自同簽書樞密院事進簽書樞密院事。	　
1226	二年丙戌	史彌遠	　	　	　
1227	三年丁亥	三月丙寅，史彌遠少師、右丞相兼樞密使，提舉編修玉牒、提舉編修國朝會要、提舉國史實錄院、提舉編修敕令，封魯國公。 史彌遠	九月癸未，故少保、觀文殿大學士、魏國公致仕、贈太師留正定諡忠宣。	正月乙亥，宣繒特轉正奉大夫、參知政事兼同知樞密院事，權監修國史日曆、同提舉編修敕令。薛極特轉宣奉大夫、參知政事、同提舉編修敕令。葛洪端明殿學士，特轉中奉大夫、簽書樞密院事。	　
1228	紹定元年戊子	史彌遠	　	六月戊申，薛極自參知政事兼同知樞密院事。十二月辛亥，薛極進知樞密院事兼參知政事。葛洪自簽書樞密院事除參知政事。袁韶除同知樞密院事。鄭清之端明殿學士、除簽書樞密院事。	　
1229	二年己丑	史彌遠	　	　	　
1230	三年庚寅	九月己酉，史彌遠少師、右丞相兼樞密使、魯國公，加食邑實封。 史彌遠	　	十二月甲子，袁韶自同知樞密院事除兩浙西路安撫制置使兼知臨安府。庚辰，免制置使，依舊同知樞密院事。乙丑，鄭清之除參知政事兼簽書樞密院事。喬行簡除端明殿學士、同簽書樞密院事。	　
1231	四年辛卯	史彌遠	十月丙辰，宰執以火延太廟，五奏乞鐫罷。詔史彌遠特降奉化郡公。	四月丁丑，鄭清之除兼同知樞密院事。喬行簡依舊端明殿學士，除簽書樞密院事。	十月丙辰，以火延太廟故，薛極、鄭清之、喬行簡詔各降一官。
1232	五年壬辰	史彌遠	　	五月己丑，薛極、鄭清之、喬行簡並復元官。七月丁酉，陳貴誼自禮部尚書除端明殿學士、同簽書樞密院事。	　
1233	六年癸巳	十月丙戌，史彌遠特授太師、左丞相、仍兼樞密使、魯國公、加封邑。鄭清之特授光祿大夫、右丞相兼樞密使，加封邑。 史彌遠 鄭清之	十月丁亥，史彌遠自太師、左丞相兼樞密使、魯國公除保寧昭信軍節度使，充醴泉觀使，進封會稽郡王。壬辰，致仕。乙未，薨。	十月丁亥，薛極自金紫光祿大夫、知樞密院事進樞密使。喬行簡自簽書樞密院事除參知政事兼同知樞密院事。陳貴誼自同簽書樞密院事除參知政事兼簽書樞密院事。	十二月庚辰，薛極以觀文殿大學士知紹興府。
1234	端平元年甲午	鄭清之	　	六月戊寅，喬行簡自參知政事兼同知樞密院事除知樞密院事。曾從龍自資政殿大學士除參知政事。鄭性之自太中大夫兼侍讀除端明殿學士、簽書樞密院事。陳貴誼自兼簽書樞密院事進同知樞密院事。	四月辛卯，薛極少保，依舊觀文殿大學士、和國公致仕。五月庚子，贈少師，乙巳，卒。十月丙戌，陳貴誼自參知政事兼同知樞密院事，乞守本官致仕。庚寅，特贈少保、資政殿大學士。癸巳，卒。
1235	二年乙未	六月戊寅，鄭清之自光祿大夫、右丞相兼樞密使除左丞相。喬行簡自宣奉大夫、知樞密院事兼參知政事除右丞相。 鄭清之 喬行簡		三月乙巳，曾從龍自參知政事兼同知樞密院事。真德秀自翰林學士除參知政事。陳卓自正議大夫、守吏部尚書除端明殿學士、同簽書樞密院事。六月壬午，曾從龍除知樞密院事兼參知政事。崔與之自端明殿學士、太中大夫、廣南東路經略安撫使馬步軍都總管兼知廣州召除參知政事。鄭性之除同知樞密院事。陳卓依舊端明殿學士，除簽書樞密院事。十一月乙丑，曾從龍除樞密使，督視江、淮軍馬。魏了翁除端明殿學士、同簽書樞密院事，督視京、湖軍馬。	四月辛卯，真德秀除資政殿學士、在京宮觀、兼侍讀。五月己亥，特轉一官，守資政殿學士、提舉佑神觀、兼侍讀致仕。甲辰，卒，特贈銀青光祿大夫。六月己卯，葛洪除資政殿大學士、通議大夫、提舉臨安府洞霄宮。十二月，魏了翁自同簽書樞密院事、督視京湖軍馬除簽書樞密院事，力辭，改資政殿學士、湖南安撫使。
1236	三年丙申	九月乙亥，崔與之自參知政事特轉正議大夫，除右丞相、兼樞密使。十一月，喬行簡自觀文殿大學士、醴泉觀使兼侍讀授特進、左丞相兼樞密使，進封肅國公加封邑。 鄭清之 喬行簡 崔與之	九月乙亥，鄭清之罷左丞相兼樞密使，除觀文殿大學士、醴泉觀使兼侍讀。喬行簡罷右丞相兼樞密使，除觀文殿大學士、醴泉觀使兼侍讀。十二月癸卯，特進鄭清之仍舊觀文殿大學士、提舉臨安府洞霄宮。	七月丁卯，鄭性之自太中大夫、同知樞密院事兼權參知政事除參知政事。李鳴復自權刑部尚書除端明殿學士、簽書樞密院事。九月乙亥，鄭性之兼同知樞密院事。李鳴復兼參知政事。	九月癸亥，宣繒自資政殿大學士、光祿大夫、提舉臨安府洞霄宮除觀文殿大學士，致仕。
1237	嘉熙元年丁酉	喬行簡 崔與之	　	二月癸未，鄭性之自參知政事兼同知樞密院事除知樞密院事兼參知政事。鄒應龍除端明殿學士、簽書樞密院事兼參知政事。李宗勉除端明殿學士、同簽書樞密院事。八月癸巳，李鳴復自兼參知政事除參知政事。李宗勉自同簽書樞密院事除簽書樞密院事。	　
1238	二年戊戌	喬行簡 崔與之	　	正月戊申，余天錫自少中大夫、試吏部尚書除端明殿學士、同簽書樞密院事。辛酉，史嵩之自通奉大夫、京西荊湖南北路安撫制置使除端明殿學士，依舊京湖安撫制置使兼沿江制置副使兼知鄂州，恩例並同執政。五月癸未，李鳴復自參知政事除知樞密院事。李宗勉自簽書樞密院事除參知政事。余天錫自同簽書樞密院事依舊端明殿學士除簽書樞密院事。七月庚辰，趙以夫自朝奉大夫、右文殿修撰、樞密都承旨除沿海制置副使兼知慶元府、宣奉大夫、同知樞密院事。	　
1239	三年己亥	正月，喬行簡自特進、左丞相、兼樞密使加少傅、平章軍國重事。李宗勉自參知政事除左丞相。史嵩之自京、湖安撫制置使除右丞相。 喬行簡 崔與之 李宗勉 史嵩之	六月庚子，崔與之力辭相位，詔依前官，特授觀文殿大學士，致仕。	正月，余天錫自簽書樞密院事除參知政事。游佀除端明殿學士、同簽書樞密院事。二月壬寅，余天錫兼同知樞密院事。八月戊戌，游佀自同簽書樞密院事除參知政事。許應龍自中大夫、試禮部尚書除端明殿學士、簽書樞密院事。林略自試右諫議大夫除端明殿學士、同簽書樞密院事。十一月丙子，范鍾除端明殿學士、簽書樞密院事。	十月庚申，許應龍罷簽書樞密院事。林略罷同簽書樞密院事。
1240	四年庚子	喬行簡 李宗勉 史嵩之	九月癸亥，喬行簡自少傅、平章軍國重事特授少師、保寧軍節度使、醴泉觀使，進封魯國公，加封邑，奉祠。閏十二月丙寅，左丞相李宗勉薨。	閏十二月丙寅，游佀自中大夫、參知政事除知樞密院事、兼參知政事。范鍾自中大夫、簽書樞密院事除參知政事。徐榮叟自朝奉大夫、權禮部尚書除端明殿學士、簽書樞密院事。	　
1241	淳祐元年辛丑	史嵩之	二月壬午，少師、魯國公喬行簡薨。	　	三月己酉，趙以夫自宣奉大夫、同知樞密院事乞祠不允，依舊集英殿修撰，差知建寧府。十二月庚申，資政殿大學士、通議大夫、知慶元府余天錫乞守本官致仕，除觀文殿學士，特轉兩官致仕，丁卯卒。
1242	二年壬寅	史嵩之	　	二月甲戌，范鍾自參知政事除知樞密院事兼參知政事。徐榮叟自簽書樞密院事除參知政事。趙葵賜出身、同知樞密院事。別之傑除簽書樞密院事。五月己酉，趙葵自同知樞密院事除資政殿大學士、知潭州、湖南安撫使。六月丙寅，別之傑自簽書樞密院事除同知樞密院事兼權參知政事。高定子除端明殿學士、簽書樞密院事。杜範除端明殿學士、同簽書樞密院事。	二月，游佀出帥浙東，尋奉祠。六月癸亥，徐榮叟除資政殿大學士、提舉臨安府洞霄宮。十二月丙寅，別之傑自同知樞密院事兼權參知政事除資政殿學士、湖南安撫大使兼知潭州。趙葵自同知樞密院事依舊資政殿大學士，除福建安撫使、知福州。
1243	三年癸卯	史嵩之	　	正月戊寅，高定子自簽書樞密院事除兼參知政事。	八月庚午，林略自端明殿學士、提舉臨安府洞霄宮除資政殿學士致仕。
1244	四年甲辰	九月癸卯，以右丞相史嵩之在告，詔知樞密院事范鍾、簽書樞密院事劉伯正輪日當筆。丙午，史嵩之依前官起復，加永國公。十二月庚午，范鍾自通議大夫、知樞密院事、兼參知政事授正奉大夫，除左丞相兼樞密使。杜範自資政殿學士、中大夫、提舉萬壽觀兼侍讀授通奉大夫、右丞相兼樞密使。 史嵩之 范鍾 杜範	九月癸卯，右丞相史嵩之以父彌忠病給告歸慶元府，未幾，彌忠卒，去位。	正月壬寅，李鳴復自知樞密院事除參知政事。杜範自同簽書樞密院事進同知樞密院事。劉伯正自中大夫、刑部尚書除端明殿學士、簽書樞密院事，己未，兼權參知政事。三月己未，金淵除端明殿學士、簽書樞密院事。十二月庚午，游佀自資政殿大學士、通議大夫、提舉萬壽觀除知樞密院事兼參知政事。劉伯正自知樞密院事兼參知政事除參知政事兼簽書樞密院事。甲戌，趙葵自資政殿大學士、通奉大夫除同知樞密院事。	正月丁巳，參知政事李鳴復依舊資政殿大學士、知福州、福建路安撫使。杜範自同知樞密院事除資政殿學士、知婺州。
1245	五年乙巳	三月己卯，范鍾左丞相兼樞密使，加封邑。杜範右丞相兼樞密使、加封邑。十二月己卯，游佀自知樞密院事兼參知政事授宣奉大夫，除右丞相兼樞密使，加封邑。 史嵩之 范鍾 游佀	四月丙戌，右丞相杜範薨。十二月己卯，鄭清之自少傅、觀文殿大學士充醴泉觀使兼侍讀、越國公特授少師、奉國軍節度使，依前醴泉觀使兼侍讀、越國公，仍加封邑。	正月乙卯，李性傳自太中大夫、權禮部尚書除端明殿學士、簽書樞密院事兼權參知政事。十一月乙卯，陳韡除端明殿學士、同簽書樞密院事。十二月己卯，趙葵自通奉大夫、同知樞密院事除知樞密院事兼參知政事。李性傳自端明殿學士、簽書樞密院事除同知樞密院。陳韡自端明殿學士、同簽書樞密院事除兼參知政事。	正月乙卯，劉伯正罷參知政事。十二月癸未，李性傳除職予郡。
1246	六年丙午	史嵩之 范鍾 游佀	二月戊辰，左丞相范鍾再乞歸田裡，詔除觀文殿大學士、醴泉觀使兼侍讀。十二月乙未，右丞相史嵩之守本官致仕。	六月壬子，陳韡自同知樞密院事除參知政事兼同知樞密院事。	閏四月乙未，除榮叟卒。
1247	七年丁未	四月辛丑，鄭清之自少師、奉國軍節度使充醴泉觀使、兼侍讀、越國公特授太傅、右丞相兼樞密使，依前越國公，加封邑。 鄭清之 游佀	四月辛丑，游佀罷右相，除觀文殿大學士、醴泉觀使兼侍讀，封邑如故，五月戊寅，再辭，免官，特許歸田。	四月辛丑王伯大自通奉大夫、守刑部尚書除端明殿學士、簽書樞密院事。吳潛自翰林學士除端明殿學士、同簽書樞密院事。辛丑，趙葵自知樞密院事兼參知政事特授樞密使事兼參知政事，督視江淮京西湖北軍馬。陳韡自兼同知樞密院事除知樞密院事、湖南安撫大使兼知潭州。五月丁巳，王伯大自簽書樞密院事除兼參知政事。壬申，吳潛自同簽書樞密院事除兼權參知政事。七月丁卯，別之傑除參知政事。鄭寀除端明殿學士、同簽書樞密院事。	三月戊辰，李韶依舊端明殿學士、提舉萬壽宮、兼侍讀。七月乙丑，吳潛罷同簽書樞密院事，丁丑，依舊端明殿學士、知福州、福建安撫使。八月甲申，鄭寀罷同簽書樞密院事，守舊職奉祠。甲辰，參知政事高定子卒。
