
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1033	二年癸酉	四月己未，張士遜自刑部尚書、平章事加門下侍郎、昭文館大學士、監修國史。李迪自資政殿大學士、工部尚書、判都省以本官平章事加集賢殿大學士。十月戊午，呂夷簡自武勝軍節度使、同平章事、判陳州加兼吏部尚書、同平章事、昭文館大學士、監修國史。 張士遜 呂夷簡 李迪	四月己未，呂夷簡自門下侍郎、同平章事以使相判澶州。十月戊午，中書侍郎、平章事張士遜以過楊崇勳飲，稽留慰班，為中丞范諷所劾，以左僕射判河南府，己未，改授使相。	四月己未，王隨自翰林侍讀學士、戶部侍郎除參加政事。李諮自樞密直學士、禮部侍郎，權三司使遷樞密副使。王德用自步軍副都指揮使、福州觀察使加檢校太保、簽書樞密院事。五月乙亥，李諮丁父憂起復。十月戊午，王曙自資政殿學士、吏部侍郎、知河南府加檢校太傅，遷樞密使。宋綬自端明殿學士兼翰林侍讀學士、刑部侍郎除參知政事。王德用自檢校太保、簽書樞密院事，蔡齊自龍圖閣學士、權三司使事，並遷樞密副使。	四月己未，張耆自樞密使以左僕射、檢校太師兼侍中、護國軍節度使判許州。夏竦自樞密副使以禮部尚書知襄州。陳堯佐自參知政事以戶部尚書知永興軍。范雍自樞密副使以戶部侍郎知荊南府。趙稹自樞密副使以尚書左丞知河中府。晏殊自參加政事以禮部尚書知江寧府。十月戊午，楊崇勳自樞密使以河陽三城節度使、同平章事判許州。十一月癸亥朔，參知政事薛奎辭疾，以資政殿學士判都省免。
1034	景祐元年甲戌	李迪 呂夷簡	　	七月庚子，王曙自樞密使加平章事。八月庚午，王曾自天平軍節度使、檢校太師、同平章事除樞密使。	八月癸亥，樞密使王曙卒。
1035	二年乙亥	二月戊辰，王曾自樞密使加右僕射兼門下侍郎、同平章事、集賢殿大學士。呂夷簡自門下侍郎兼吏部尚書、平章事加右僕射。十一月乙巳，夷簡加申國公，曾加沂國公。 李迪 呂夷簡 王曾	二月戊辰，李迪自集賢殿大學士、工部尚書、平章事以刑部尚書知亳州。	二月戊辰，王隨自參知政事加吏部侍郎，李諮自樞密副使加戶部侍郎，並知樞密院事。王德用自簽書樞密事加奉國軍節度使留後，韓億自御史中丞加工部侍郎，並同知樞密院事。蔡齊自樞密副使加禮部侍郎，盛度自端明殿學士兼翰林侍讀學士加禮部侍郎，並除參知政事。	　
1036	三年丙子	呂夷簡王曾	　	十二月丁卯，王德用自同知樞密院事進知樞密院事。章得象自翰林學士承旨兼侍讀學士、龍圖閣直學士、禮部侍郎遷同知樞密院事。	十二月丙寅，樞密副使李諮卒。
1037	四年丁丑	四月甲子，王隨自知樞密院事加門下侍郎、同中書門下平章事、昭文館大學士、監修國史。陳堯佐自戶部侍郎、知鄭州加同中書門下平章事、集賢殿大學士。 呂夷簡 王曾 王隨 陳堯佐	四月甲子，呂夷簡自右僕射、申國公以鎮安軍節度使、同平章事判許州。王曾自右僕射、沂國公以左僕射、資政殿大學士判鄆州。	四月甲子，盛度自禮部侍郎、參知政事除知樞密院事。王鬷自樞密直學士、左司郎中、右諫議大夫除同知樞密院事。韓億自工部侍郎、同知樞密院事，遷三司使，程琳自吏部侍郎石中立自翰林學士承旨兼龍圖閣學士，並除參知政事。庚午，王德用自樞密副使加定武軍節度使。	初，呂夷簡、王曾不協，曾言夷簡招權，交論於上前，參知政事宋綬善夷簡，樞密副使蔡齊頗附曾。四月甲子，綬以尚書左丞，齊以吏部侍郎並免。
1038	寶元元年戊寅	三月戊戌，張士遜自山南東道節度使、同平章事、判河南府加門下侍郎兼兵部尚書、平章事、昭文館大學士、監修國史。章得象自同知樞密院事守本官加平章事、集賢殿大學士。 王隨 陳堯佐 張士遜 章得象	先是，右司諫韓琦屢言，宰執非才，三月戊戌，王隨自門下侍郎、同中書門下平章事，以彰信軍節度使守本官判河陽。陳堯佐自同中書門下平章事，以淮康軍節度使守本官判鄭州。十一月乙卯，王曾薨。	三月戊戌，盛度自知樞密院事加武寧軍節度使、檢校太傅，王鬷自知樞密院事，加龍圖閣學士李若谷自工部侍郎權知開封府，並除參知政事。王博文自龍圖閣直學士、給事中、權三司使，加龍圖閣直學士陳執中自工部郎中、知永興軍加右諫議大夫，並除同知樞密院事。四月乙亥，張觀自給事中、權御史中丞除同知樞密院事。	三月戊戌，韓億自參知政事罷守本官歸班，尋知應天府。石中立自參知政事以戶部侍郎、資政殿學士免。四月癸酉，同知樞密院事王博文卒。
1039	二年己卯	張士遜 章得象	　	五月壬子，夏守贇自鎮海軍節度使、真定都部署除知樞密院事。十月壬寅，王鬷自參知政事加工部侍郎，除知樞密院事。宋庠自翰林學士、知制詰加諫議大夫，除參知政事。	五月壬子，王德用自宣徽南院使、定國軍節度使、樞密副使以武寧軍節度使免。十月丁酉，盛度自武寧軍節度使、知樞密院事坐馮士元事，奪節貶秩，以尚書右丞知揚州。程琳自參知政事以光祿卿知潁州。
1040	康定元年庚辰	五月壬戌，呂夷簡自鎮安軍節度使、判許州，加右僕射、門下侍郎、同平章事、昭文館大學士、監修國史。 張士遜 章得象 呂夷簡	五月壬戌，張士遜自門下侍郎兼兵部尚書、平章事罷守太傅，進封鄧國公。	三月戊寅，晏殊自三司使、刑部尚書，宋綬自禮部尚書、知河南府，並除知樞密院事。王貽永自保安軍節度使、檢校太傅、駙馬都尉除同知樞密院事。七月丁亥，夏守贇自宣徽南院使、陝西都部署復除同知樞密院事。八月戊申，杜衍自龍圖閣學士、刑部侍郎、權知開封府除同知樞密院事。九月戊午，宋綬自守尚書左丞，起復加翰林學士兼龍圖閣學士晁宗慤自左司郎中、知制誥加右諫議大夫，並除參知政事。鄭戩自龍圖閣直學士、起居捨人、權三司使加右諫議大夫除同知樞密院事。戊辰，晏殊自知樞密院事加檢校太傅、樞密使。王貽永、杜衍、鄭戩並自同知樞密院事進樞密副使。	二月丁亥，夏守贇自知樞密院事除宣徽南院使、陝西都部署兼經略安撫等使。三月戊寅，知樞密院事王鬷，同知樞密院事陳執中、張觀，並以西兵不利，又議鄉兵不決，鬷知河南府，執中知青州，觀知相州。九月戊午，李若谷自參知政事以疾授資政殿大學士、吏部侍郎、提舉會靈觀。十二月癸卯，參知政事宋綬卒。
1041	慶曆元年辛巳	十月壬午，呂夷簡自右僕射加司空，固辭。 章得象 呂夷簡	　	五月辛未，王舉正自翰林學士、兵部侍郎、知制誥加右諫議大夫除參知政事。任中師自樞密直學士、右諫議大夫、知益州，任布自給事中、知河南府，並除樞密副使。	五月辛未，宋庠自參知政事本官知揚州。鄭戩自樞密副使以資政殿學士知杭州。
1042	二年壬午	七月壬午，呂夷簡自右僕射、門下侍郎、同平章事判樞密院事。章得象自守同知樞密院事、平章事兼樞密使。晏殊自樞密使加同平章事。九月丙午，呂夷簡改兼樞密使。是年冬，夷簡以疾授司空平章軍國重事，固辭。 章得象 呂夷簡 晏殊	　	　	三月辛酉，晁宗慤自參知政事以疾遷資政殿學士、給事中免。七月丙午，任布自樞密副使遷秩知河陽府。
1043	三年癸未	三月戊子，呂夷簡自司空、平章軍國重事以疾授司徒、監修國史，與議軍國大事。章得象自平章事加工部尚書、昭文館大學士，晏殊自檢校太尉、刑部尚書、同平章事加同中書門下平章事、集賢殿大學士，並兼樞密使。九月戊辰，章得象加監修國史。 章得象 呂夷簡 晏殊	四月甲子，司徒呂夷簡罷與議軍國大事，九月戊辰，以太尉致仕。	三月戊子，夏竦自宣徽南院使判蔡州遷戶部尚書，除樞密使。賈昌朝自右諫議大夫、權御史中丞除參知政事。富弼自右正言、知制誥、史館修撰除右諫議大夫、樞密副使，固辭。四月甲辰，韓琦自陝西四路馬步軍都部署、兼經略安撫招討等使、樞密直學士、右諫議大夫，范仲淹自安撫經略招討使，並樞密副使。乙巳，杜衍自吏部侍郎、樞密副使除樞密使。七月丁丑，范仲淹自樞密副使除參知政事，富弼自史館修撰除樞密副使，皆固辭，八月丁未，復命之。	四月乙巳，樞密使夏竦既至，為臺諫所論免。七月丙子，王舉正自參知政事以資政殿學士知許州。九月乙亥，任中師自樞密副使以禮部侍郎、資政殿學士知永興軍。
1044	四年甲申	九月甲申，杜衍自檢校太傅依前行吏部侍郎加同平章事兼樞密使、集賢殿大學士。 晏殊 章得象 杜衍	九月庚午，同中書門下平章事晏殊為孫甫、蔡襄所論，以工部尚書知潁州。	六月壬子，范仲淹自參知政事出為陝西、河東宣撫使。八月甲午，富弼自樞密副使出為河北宣撫使。九月甲寅，賈昌朝自右諫議大夫、參知政事加檢校太傅、行工部侍郎、樞密使。陳執中自資政殿學士、工部侍郎、知青州除參知政事，蔡襄、孫甫等言其剛愎不可任，上不聽。	　
1045	五年乙酉	正月丙戌，賈昌朝自樞密使、檢校太傅依前工部侍郎加同平章事兼樞密使、集賢殿大學士。四月戊申，陳執中自參知政事依前行工部侍郎加同平章事、集賢殿大學士。昌朝尋加昭文館大學士、監修國史兼譯經潤文使。 杜衍 章得象 賈昌朝 陳執中	正月丙戌，杜衍自行吏部侍郎、同平章事以行尚書左丞知兗州。四月戊申章得象自檢校太尉、工部尚書、同平章事以檢校太傅、同平章事、鎮安軍節度使知陳州。十月庚辰，詔宰臣罷兼樞密使。	正月丙戌，王貽永自宣徽南院使、保寧軍節度使依前檢校太傅除樞密使。宋庠自資政殿學士、給事中、知鄆州除參知政事。 吳育自翰林學士、禮部郎中、知制誥、權知開封府加右諫議大夫，龍圖閣學士龐籍自右諫議大夫、知延州，並除樞密副使。四月庚戌，吳育自諫議大夫、樞密副使除參知政事。丁度自翰林學士承旨、端明殿學士除工部尚書、樞密副使。	正月乙酉，范沖淹自右諫議大夫以資政殿學士出知邠州兼陝西四路沿邊安撫使。富弼自右諫議大夫以資政殿學士、京東西路安撫使兼知鄆州，用錢明逸疏也。先是，樞密副使韓琦上疏，論富弼不當輕罷，不報。董士廉又訟水洛城事，三月辛酉，琦以資政殿學士出知揚州。
1046	六年丙戌	賈昌朝 陳執中	　	二月癸丑，王貽永自檢校太傅、樞密使加同平章事。八月癸酉，參知政事吳育以與賈昌朝論事不合，改樞密副使。丁度自工部侍郎、樞密副使除參知政事。	　
1047	七年丁亥	三月乙未，陳執中自工部侍郎、平章事加昭文館大學士、監修國史兼譯經潤文使。 賈昌朝 陳執中	先是，賈昌朝與吳育爭論上前，三月乙未，昌朝以武勝軍節度使判大名府兼北京留守。	初，上欲以河陽三城節度使、檢校太尉、同平章事、知大名府夏竦為相，臺諫言其與陳執中素不合，三月乙未，乃命竦為樞密使。文彥博自樞密直學士、戶部郎中、知益州加右諫議大夫，除樞密副使。丁酉，除參知政事。高若訥自右諫議大夫、御史中丞除樞密副使。	三月乙未，吳育自右諫議大夫、樞密副使以給事中歸班。
1048	八年戊子	閏正月戊申，文彥博自諫議大夫、參知政事加行禮部侍郎、同平章事、集賢殿大學士。 陳執中 文彥博	　	四月辛未，明鎬自端明殿學士、給事中、權三司使除參知政事。五月辛酉，宋庠自給事中、參知政事除樞密使。龐籍自樞密副使、左諫議大夫除參知政事。	四月辛未，丁度自參知政事遷紫宸殿學士兼侍讀學士。五月辛酉，夏竦自樞密使以檢校太師依前同平章事、河陽三城節度使判河南府兼西京留守司，以何郯論其姦邪故也。六月甲午，參知政事明鎬卒。
1049	皇祐元年己丑	八月壬戌，文彥博自行禮部侍郎、同平章事加吏部侍郎、昭文館大學士、監修國史。宋庠自樞密使、檢校太傅、行工部侍郎加兵部侍郎、同平章事、集賢殿大學士。 陳執中 文彥博	八月壬戌，陳執中自工部侍郎、平章事以兵部尚書出知陳州。	是歲，賈昌朝自山南東道節度使、同平章事、安國公、判鄭州依前尚書右僕射、觀文殿大學士判尚書都省。八月壬戌，王貽永自樞密使、檢校太傅、同平章事加兼侍中。龐籍自左諫議大夫、參知政事加檢校太傅、行工部侍郎、樞密使。高若訥自樞密副使、右諫議大夫加工部侍郎，除參知政事。梁適自翰林學士、吏部郎中加右諫議大夫，除樞密副使。	　
1050	二年庚寅	文彥博 宋庠	　	　	　
