
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1086	元祐元年丙寅	閏二月庚寅，司馬光自正議大夫、守門下侍郎依前官加左僕射兼門下侍郎。壬辰，呂公著自金紫光祿大夫、尚書左丞加門下侍郎。四月壬寅，呂公著自金紫光祿大夫、門下侍郎依前官加右僕射兼中書侍郎。文彥博自河東節度使、守太師、開府儀同三司、潞國公落致仕加太師、平章軍國重事。 韓縝 蔡確 司馬光 呂公著 文彥博	閏二月庚寅，左僕射蔡確累為劉摯、孫覺、蘇轍、朱光庭、王巖叟所論，守前官以觀文殿大學士知陳州。四月己丑，韓縝自右僕射以光祿大夫、觀文殿大學士知潁昌府、京西北路安撫使。九月丙辰朔，左僕射兼門下侍郎司馬光薨。	閏二月丙午，李清臣自通議大夫、守尚書右丞除尚書左丞。 呂大防自試吏部尚書除中大夫、尚書右丞。乙卯，安燾自同知樞密院事進知樞密院事。范純仁自試吏部尚書兼侍讀除中大夫、同知樞密院事。五月丁巳朔，韓維自資政殿大學士、正議大夫兼侍讀除守門下侍郎。十一月戊午，劉摯自試御史中丞除中大夫、尚書右丞。呂大防自中大夫、尚書左丞除中書侍郎。	閏二月辛亥，正議大夫、知樞密院事章惇為劉摯、王巖叟、朱光庭等所論，又於簾前爭論諠悖，罷守本官知汝州。九月己卯，張璪自中書侍郎以資政殿學士、光祿大夫知鄭州。
1087	二年丁卯	文彥博 呂公著	　	五月丁卯，劉摯自中大夫、守尚書右丞除尚書左丞。王存自守兵部尚書除中大夫、尚書右丞。六月辛丑，安燾自正議大夫、同知樞密院事進知樞密院事。	四月戊申，李清臣自尚書左丞以資政殿學士知河陽。七月辛未，韓維自正議大夫、門下侍郎以資政殿大學士知鄧州。
1088	三年戊辰	四月辛巳，呂公著自金紫光祿大夫、尚書右僕射兼中書侍郎加司空、平章軍國重事。呂大防自中書侍郎加太中大夫、左僕射兼門下侍郎。范純仁自同知樞密院加太中大夫、右僕射兼門下侍郎。 文彥博 呂公著 呂大防 范純仁	　	四月壬午，孫固自觀文殿學士、正議大夫兼侍讀除門下侍郎。王存自中大夫、尚書右丞除尚書左丞。胡宗愈自試御史中丞除中大夫、尚書右丞。趙瞻自中散大夫、試戶部侍郎除簽書樞密院事。	　
1089	四年己巳	文彥博 呂公著 呂大防 范純仁	二月甲辰，司空、同平章軍國事呂公著薨。六月甲辰，范純仁自太中大夫、右僕射守前官以觀文殿學士知潁昌府。	六月丙午，韓忠彥自樞密直學士、戶部尚書除中大夫、尚書左丞。趙瞻自簽書樞密院事進同知樞密院事。十一月癸未，孫固自門下侍郎除光祿大夫、知樞密院事。劉摯自中大夫、守中書侍郎除門下侍郎。傅堯俞自試吏部尚書除中大夫、守中書侍郎。	三月己卯，胡宗愈自尚書右丞以資政殿學士知陳州。六月甲辰，王存自中大夫、尚書左丞以端明殿學士知蔡州。七月乙亥，安燾自知樞密院事丁母憂。十月乙卯，詔起復，燾辭。
1090	五年庚午	文彥博 呂大防	二月庚戌，文彥博自太師、平章軍國重事以守太師、儀同三司、河中興元尹、護國軍山南西道節度使致仕。	三月壬申，韓忠彥自中大夫、尚書左丞遷同知樞密院事。蘇頌自翰林學士承旨、知制誥兼侍讀除右光祿大夫、尚書左丞。	三月丙寅朔，中大夫、同知樞密院事趙瞻卒。四月甲辰，右光祿大夫、知樞密院事孫固卒。十二月辛卯朔，許將自尚書右丞以太中大夫、資政殿學士知定州。
1091	六年辛未	二月辛卯，劉摯自守門下侍郎、太中大夫加右僕射兼中書侍郎。 呂大防 劉摯	十一月乙酉朔，劉摯自右僕射以觀文殿學士知鄆州。	二月辛卯，王巖叟自龍圖閣待制、知開封府除簽書樞密院事。癸巳，蘇轍自龍圖閣學士、御史中丞除中大夫、尚書右丞。	十一月辛丑，中大夫、守中書侍郎傅堯俞卒。
1092	七年壬申	六月辛酉，蘇頌自守尚書左僕射加左光祿大夫、守尚書左僕射兼中書侍郎。 呂大防 蘇頌	　	六月辛酉，蘇轍自守尚書右丞除中大夫、門下侍郎。韓忠彥自同知樞密院事除中大夫知樞密院事。范百祿自翰林學士、太中大夫除中書侍郎。梁燾自翰林學士除中大夫、尚書左丞。鄭雍自太中大夫、御史中丞除尚書右丞。劉奉世自左朝請大夫、寶文閣待制、權戶部尚書除簽書樞密院事。	五月丙午，王巖叟自簽書樞密院事以端明殿學士知鄭州。
1093	八年癸酉	七月丙子朔，范純仁自觀文殿大學士知潁昌府加通議大夫、尚書右僕射兼中書侍郎。 呂大防 蘇頌 范純仁	三月癸未，蘇頌自右僕射依前左光祿大夫、觀文殿大學士、集禧觀使。	　	三月辛卯，范百祿自中書侍郎以太中大夫、資政殿學士知河中府。六月戊午，梁燾自尚書左丞以資政殿學士領醴泉觀使。
1094	紹聖元年甲戌	四月壬戌，章惇自通議大夫、提舉洞霄宮加左正議大夫、守尚書左僕射兼門下侍郎。 呂大防 范純仁 章惇	三月乙亥，呂大防自左僕射、中書侍郎]以觀文殿大學士、右光祿大夫知潁昌府，改知永興軍。四月壬戌，范純仁自尚書右僕射兼中書侍郎以右正議大夫、觀文殿大學士知潁昌府、京西北路安撫使。	二月丁未，李清臣自資政殿學士、守戶部尚書除正議大夫、中書侍郎。鄧溫伯自端明殿學士、守兵部尚書除右光祿大夫、尚書左丞。閏四月甲申，安燾自觀文殿學士、右正議大夫除門下侍郎。六月癸未，曾布自翰林學士承旨、知制誥兼侍讀、除中大夫、同知樞密院事。	三月丁酉，蘇轍自太中大夫、門下侍郎以守本官知汝州。五月辛亥，劉奉世自簽書樞密院事以端明殿學士、真定府路安撫使兼知成德軍。乙丑，尚書左丞鄧潤甫卒。潤甫舊名溫伯，復今名。
1095	二年乙亥	章惇	　	十月甲戌，許將自守吏部尚書兼侍讀除守尚書左丞。蔡卞自翰林學士兼侍讀、修國史除守尚書右丞。	十月甲子，鄭雍自太中大夫、尚書右丞以資政殿學士知陳州。十一月乙未，安燾自右正議大夫、門下侍郎以觀文殿學士知河南府。
1096	三年丙子	章惇	　	　	正月庚子，韓忠彥自太中大夫、知樞密院事以觀文殿學士知真定府。
1097	四年丁丑	章惇	二月己未，故司馬光自左僕射追貶清海軍節度副使。故呂公著自司空、平章軍國事追貶建武軍節度副使。癸未，前宰相呂大防責授舒州團練副使，循州安置。前宰相劉摯責授鼎州團練副使，新州安置。前宰相范純仁責授武安軍節度副使，永州安置。甲申，前太師致仕文彥博降授太子少保致仕。故左僕射王珪追貶萬安軍司戶。	閏二月壬寅，曾布自同知樞密院事除太中大夫、知樞密院事。林希自翰林學士、知制誥除太中大夫、同知樞密院事。許將自守尚書左丞除正議大夫、中書侍郎。蔡卞自太中大夫、守尚書右丞除尚書左丞。黃履自試吏部尚書除中大夫、尚書右丞。	正月庚戌，李清臣自正議大夫、中書侍郎以資政殿大學士知河南府。二月己未，故王巖叟自端明殿學士追貶雷州別駕。癸未，蘇轍自前門下侍郎責授化州別駕，雷州安置。梁燾自前資政殿學士責授雷州別駕，化州安置。劉奉世自前端明殿學士落職，分司南京，郴州居住。韓維自前資政殿大學士致仕落職，特授左朝議大夫致仕。
1098	元符元年戊寅	章惇	　	　	四月壬辰，林希自同知樞密院事出知亳州。
1099	二年己卯	章惇	　	　	閏九月辛巳，黃履自通議大夫、尚書右丞以守本官知亳州。
1100	三年庚辰徽宗正月己卯即位	四月甲辰，韓忠彥自門下侍郎加正議大夫、右僕射兼中書侍郎。十月丁酉，遷左僕射兼門下侍郎，進封儀國公。壬寅，曾布自知樞密院事加右銀青光祿大夫、守尚書右僕射兼中書侍郎。 章惇 韓忠彥 曾布	先是，豐稷、陳次升、龔夬、陳瓘劾章惇為山陵使而喪轝陷濘暴露，九月辛未，以守本官知越州。	二月戊午，韓忠彥自通議大夫、守吏部尚書仍前官加門下侍郎。黃履自資政殿學士、提舉中太乙宮兼侍讀仍前官加尚書右丞。四月甲辰，李清臣自左正議大夫、禮部尚書加門下侍郎。蔣之奇自翰林學士、通議大夫、知制誥除同知樞密院事。十一月戊寅，安燾自觀文殿學士、提舉太乙宮兼集禧觀公事兼侍讀除知樞密院事。辛卯，范純禮自禮部尚書除中大夫、守尚書右丞。	先是，龔夬、陳瓘累疏劾蔡卞，五月乙酉，卞以資政殿學士知江寧府。十一月庚辰，尚書右丞黃履以資政殿大學士仍前正議大夫、提舉中太乙宮兼集禧觀公事。
1101	建中靖國元年辛巳	韓忠彥 曾布	正月癸亥，前宰相觀文殿學士、中太乙宮使范純仁薨。	七月丁亥，蔣之奇自正議大夫、同知樞密院事進知樞密院事。陸佃自試吏部尚書除中大夫、尚書右丞。章楶自端明殿學士、通議大夫、提舉中太乙宮兼集禧觀事除同知樞密院事。十一月庚申，陸佃自守尚書右丞除尚書左丞。溫益自試吏部尚書兼侍讀除中大夫、尚書右丞。	六月戊午，范純禮自中大夫、尚書右丞以仍前官出知潁昌府。七月丙戌，安燾自左正議大夫、知樞密院事以觀文殿學士出知河南府兼西京留守。十月乙未，李清臣自右光祿大夫、門下侍郎以資政殿學士出知大名府兼北京留守。
1102	崇寧元年壬午	七月戊子，蔡京自守尚書左丞加通議大夫、守尚書右僕射兼中書侍郎。 韓忠彥 曾布 蔡京	五月庚申、韓忠彥自左僕射兼門下侍郎以觀文殿大學士出知大名府兼北京留守。甲子落職。閏六月壬戌，曾布自右僕射以觀文殿大學士、右銀青光祿大夫出知潤州。	六月丙申，許將自右銀青光祿大夫、守中書侍郎加門下侍郎。溫益自中大夫、守尚書右丞加中書侍郎。蔡京自翰林學士承旨中大夫、知制誥兼侍讀、修國史、實錄修撰除尚書左丞。趙挺之自試吏部尚書兼侍讀、修國史、編修國朝會要除中大夫、尚書右丞。八月己卯，遷尚書左丞。張商英自翰林學士、知制誥兼侍讀、修國史、實錄修撰除中大夫、尚書右丞。十月戊寅，蔡卞自資政殿學士、左正議大夫、中太乙宮使兼侍讀除知樞密院事。	六月丙申，陸佃自尚書左丞依前太中大夫出知亳州。七月庚午，章楶自同知樞密院事以資政殿學士領中太乙宮使。十月癸亥，蔣之奇自知樞密院事依前右正議大夫，以觀文殿學士出知杭州。
1103	二年癸未	正月丁未，蔡京自右僕射加右光祿大夫、尚書左僕射兼門下侍郎。 蔡京	　	四月戊寅，趙挺之自中大夫、尚書左丞除中書侍郎。張商英自中大夫、尚書右丞除尚書左丞。吳居厚自戶部尚書除中大夫、尚書右丞。安惇自兵部尚書兼侍讀除中大夫、同知樞密院事。	正月壬辰，中書侍郎溫益卒。八月戊申，張商英自尚書左丞以通議大夫出知亳州，尋改蘄州。
1104	三年甲申	五月己卯，蔡京自尚書左僕射加司空。 蔡京	　	九月乙亥，趙挺之自右光祿大夫、中書侍郎加門下侍郎。吳居厚自右光祿大夫、尚書右丞加中書侍郎。張康國自翰林學士承旨、知制誥除尚書左丞。鄧洵武自刑部尚書除尚書右丞。	八月乙巳，許將自門下侍郎仍前官以資政殿學士出知河南府。十二月戊午，同知樞密院事安惇卒。
1105	四年乙酉	三月甲辰，趙挺之自門下侍郎加右銀青光祿大夫、尚書右僕射兼中書侍郎。 蔡京 趙挺之	六月戊子，趙挺之自右僕射授金紫光祿大夫、觀文殿大學士，領中太乙宮使。	二月甲寅，張康國自中大夫、守尚書右丞仍前官知樞密院事。劉逵自兵部尚書兼侍讀、修國史兼實錄修撰除中大夫、同知樞密院事。何執中自太中大夫、試吏部尚書兼侍讀除尚書左丞。	正月丙申，蔡卞自金紫光祿大夫、知樞密院事仍前官以資政殿大學士出知河南府。
1106	五年丙戌	二月丙寅，趙挺之自尚書右僕射兼中書侍郎加特進、光祿大夫、尚書右僕射兼中書侍郎。 蔡京 趙挺之	二月丙寅，蔡京自左僕射以守司空、安遠軍節度使、開府儀同三司領中太乙宮使。	正月甲辰，吳居厚自右光祿大夫、中書侍郎加門下侍郎。劉逵自中大夫、同知樞密院事加中書侍郎。	十二月戊午，劉逵自中大夫、中書侍郎守本官出知亳州。
1107	大觀元年丁亥	正月甲午，蔡京自安遠軍節度使依前司空、左僕射兼門下侍郎、魏國公。十二月庚寅，蔡京自司空、左僕射兼門下侍郎、魏國公加太尉。 趙挺之 蔡京	三月丁酉，趙挺之自尚書右僕射兼中書侍郎以特進、觀文殿大學士領佑神觀致仕。	正月壬子，何執中自太中大夫、尚書左丞加中書侍郎。鄧洵武自中大夫、守尚書右丞除尚書左丞。梁子美自中大夫、試戶部尚書除尚書右丞。三月丁酉，何執中自中書侍郎加門下侍郎。鄧洵武自尚書左丞加中書侍郎。梁子美自尚書右丞遷尚書左丞。朱諤自吏部尚書除中大夫、尚書右丞。六月乙未，梁子美加中書侍郎。八月庚申，徐處仁自試戶部尚書除中大夫、尚書右丞。林攄自太中大夫、試吏部尚書兼侍讀實錄修撰仍前官同知樞密院事。閏十月丙戌，林攄自中大夫、同知樞密院事除尚書左丞。鄭居中自資政殿學士、太中大夫、中太乙宮使兼侍讀、實錄修撰仍前官同知樞密院事。十二月壬寅，起復徐處仁，辭。	正月壬寅，吳居厚自右光祿大夫、門下侍郎以資政殿學士仍前官領太一宮使。五月庚寅，鄧洵武自中書侍郎以守本官知隨州。六月己亥，尚書右丞朱諤卒。十月癸酉，尚書右丞徐處仁丁母憂。
1108	二年戊子	正月己未，蔡京自太尉、左僕射兼門下侍郎、魏國公加太師。 蔡京	　	九月辛亥，林攄自右光祿大夫、尚書左丞加中書侍郎。余深自試吏部尚書除尚書左丞。	八月丙申，梁子美自中書侍郎以資政殿學士、正奉大夫出知鄆州。
1109	三年己丑	六月辛巳，何執中自行中書門下侍郎加特進、尚書左僕射兼門下侍郎。蔡京何執中	六月辛巳，蔡京自左僕射以依前太師領中太乙宮使。	四月癸巳，鄭居中自右光祿大夫、同知樞密院事進知樞密院事。管師仁自中大夫、試吏部尚書除同知樞密院事。癸卯，余深自中大夫、尚書左丞加中書侍郎。薛昂自試兵部尚書兼侍讀除中大夫、尚書左丞。劉正夫自試工部尚書兼侍讀、實錄院修撰除尚書右丞。	三月戊申，知樞密院事張康國暴卒。四月戊寅，林攄自中書侍郎依前正奉大夫出知滁州。六月甲戌，管師仁自同知樞密院事以資政殿學士依前中大夫領佑神觀使，尋卒。
1110	四年庚寅	六月乙亥，張商英自守中書侍郎加通議大夫、守尚書右僕射兼中書侍郎。 何執中 張商英	　	二月己丑，余深自中大夫、中書侍郎加門下侍郎。張商英自資政殿學士、通議大夫、中太乙宮使加中書侍郎。侯蒙自朝奉大夫、試戶部尚書除中大夫、同知樞密院事。八月乙亥，劉正夫自中大夫、尚書右丞加中書侍郎。侯蒙自中大夫、同知樞密院事除尚書左丞。鄧洵仁自翰林學士承旨、太中大夫、知制誥兼侍讀除尚書右丞。庚辰，吳居厚自資政殿學士、宣奉大夫、佑神觀使加門下侍郎。十月庚申，除知樞密院事。	五月丙寅，余深自門下侍郎以資政殿學士仍中大夫出知青州。六月丙申，薛昂自尚書左丞以資政殿學士仍中大夫出知江寧府。十月丁酉，鄭居中自正奉大夫、知樞密院事仍前官以觀文殿學士領中太乙宮使。
1111	政和元年辛卯	何執中 張商英	八月丁巳，張商英自右僕射以觀文殿大學士出知河南府兼西京留守。	三月癸酉，王襄自試吏部尚書除中大夫、同知樞密院事。	九月戊寅，王襄自同知樞密院事以中大夫出知亳州。
1112	二年壬辰	四月庚戌，何執中以哲宗帝紀成加司空。五月己巳，蔡京落致仕，依前太師，三日一至都堂治事。十一月辛巳，進封魯國公。何執中自尚書左僕射加少傅，為太宰，仍兼門下侍郎。 蔡京 何執中	　	六月己丑，知青州余深復門下侍郎。	　
1113	三年癸巳	八月丙子，何執中自尚書左僕射加少師。 蔡京 何執中	　	正月乙亥，鄭居中自特進、觀文殿學士、中太乙宮使兼侍讀復除知樞密院事。四月己酉，薛昂自資政殿學士、通議大夫除尚書右丞。	正月乙亥，吳居厚自知樞密院事、宣奉大夫以武康軍節度使知洪州。四月癸巳，鄧洵仁自尚書右丞以通議大夫、資政殿學士出知亳州，尋落職。
1114	四年甲午	蔡京 何執中	　	　	
