
公元	紀年	宰相進拜加官	罷免	執政進拜加官	罷免
1127	建炎元年丁未高宗五月庚寅即位	五月甲午，李綱自資政殿大學士、領開封府職事除正議大夫、守尚書右僕射兼中書侍郎。七月壬寅，自右僕射除銀青光祿大夫、尚書左僕射、同平章事、御營使兼門下侍郎。同日，黃潛善自守門下侍郎除正議大夫、尚書右僕射、同平章事兼中書侍郎、御營使。 張邦昌 李綱 黃潛善	五月壬辰，張邦昌罷權左僕射，為太保、奉國軍節度使、同安郡王。八月丁丑，李綱罷左相、以觀文殿大學士提舉杭州洞霄宮。	五月庚寅，黃潛善自徽猷閣直學士、大元帥府兵馬副元帥遷中大夫、中書侍郎。汪伯彥自顯謨閣直學士、中大夫、大元帥府兵馬副元帥除同知樞密院事。己未，呂好問自試兵部尚書遷中大夫、尚書右丞。六月癸亥，黃潛善自中大夫、中書侍郎除門下侍郎。未幾，兼權中書侍郎。戊寅，汪伯彥自中大夫、同知樞密院事除知樞密院事。壬午，張{殻心}同知樞密院事。七月癸卯，許翰自太中大夫、提舉鴻慶宮召為尚書右丞。十一月乙未，張{殻心}自通議大夫、同知樞密院事除尚書左丞，仍兼御營副使。顏岐自工部尚書遷中大夫，除同知樞密院事。丙午，再遷尚書左丞、同知樞密院事。同日，郭三益自試刑部尚書遷中大夫，除同知樞密院事。十二月丙子，許景衡自試御史中丞遷中大夫，除尚書右丞。	五月癸巳，耿南仲自門下侍郎以觀文殿學士提舉杭州洞霄宮。己未，馮澥自尚書左丞以資政殿學士知潼川府。七月癸卯，呂好問罷尚書右丞，授資政殿學士、知宣州。八月丙戌，許翰罷尚書右丞，以資政殿學士提舉洞霄宮。
1128	二年戊申	十二月己巳，黃潛善自右僕射兼中書侍郎除光祿大夫、守左僕射兼門下侍郎。汪伯彥自知樞密院事除正議大夫、守右僕射兼中書侍郎。 黃潛善 汪伯彥	　	五月戊子，朱勝非自翰林學士、知制誥兼侍讀遷中大夫，除尚書右丞。十二月己巳，盧益自試兵部尚書遷太中大夫，除簽書樞密院事。顏岐自中大夫、尚書左丞除門下侍郎。朱勝非自太中大夫、尚書右丞除中書侍郎。	五月乙酉，許景衡罷尚書右丞，以資政殿學士提舉洞霄宮。
1129	三年己酉	三月庚辰，朱勝非自守中書侍郎除通奉大夫、守右僕射兼中書侍郎兼御營使。故事，命相進官三等。勝非特進五官。四月癸丑，呂頤浩自資政殿學士、同簽書樞密院事授宣奉大夫、守右僕射兼中書侍郎。閏八月丁亥，杜充自同知樞密院事授太中大夫、守右僕射、同平章事兼御營使。 朱勝非 呂頤 浩杜充	二月己巳，黃潛善罷左相，以觀文殿大學士知江寧府。汪伯彥罷右相，以觀文殿大學士知洪州。四月癸丑，朱勝非罷右相，以觀文殿大學士知洪州。	正月甲申，路允迪自資政殿學士、提舉洞霄宮除簽書樞密院事。二月丁巳，呂頤浩自資政殿學士、江浙制置使除簽書樞密院事。三月，除知樞密院事。己巳，葉夢得自試戶部尚書遷中大夫，除尚書左丞。張澂自試御史中丞遷中大夫，除尚書右丞。三月辛巳，盧益自中大夫、同知樞密院事除尚書左丞。王淵自嚮德軍節度、御營使司都統制除兼都統制、簽書樞密院事。戊子，王孝迪除中書侍郎。丙午，李邴自翰林學士、知制誥遷端明殿學士，除同簽書樞密院事。鄭瑴自試御史中丞遷端明殿學士，除同簽書樞密院事。四月壬子，張浚自尚書禮部侍郎遷通奉大夫，除知樞密院事。癸丑，李邴自同簽書樞密院事遷中大夫，除尚書左丞。鄭瑴自同簽書樞密院事除簽書樞密院事。庚申，李邴改除參知政事。是日，罷左右丞、門下中書侍郎復為參知政事。五月癸未，滕康自翰林學士、知制誥遷端明殿學士，除簽書樞密院事。七月壬寅，李邴自參知政事除權知三省樞密院事。杜充自端明殿學士、中大夫、東京留守召除同知樞密院事。滕康自簽書樞密院事除權同知三省樞密院事。周望自朝奉大夫、試兵部尚書遷端明殿學士，除同簽書樞密院事。王綯自資政殿學士兼權太子太傅遷中大夫，除參知政事。九月，張守自翰林學士、知制誥遷端明殿學士，除同簽書樞密院事。十一月，范宗尹自試御史中丞遷中大夫，除參知政事。	四月癸丑，路允迪罷簽書，以資政殿學士提舉醴泉觀兼侍讀。顏岐罷門下侍郎，以資政殿大學士提舉南京鴻慶宮。王孝迪罷中書侍郎，以端明殿學士提舉西京嵩山崇福宮。張澂罷尚書右丞，以資政殿學士知江州。
1130	四年庚戌	五月甲辰，范宗尹自中大夫、參知政事授通奉大夫、守右僕射、同平章事兼知樞密院事。十一月癸卯，詔追封贈元祐故宰相呂大防、呂公著、范純仁。 呂頤浩 杜充 范宗尹	二月乙未，杜充罷右相，以觀文殿大學士提舉江州太平觀。四月乙未，呂頤浩罷右相，以鎮南軍節度使、開府儀同三司充醴泉觀使。六月丙戌，前宰相呂頤浩、朱勝非罷為江東西、兩浙安撫大使。	五月壬子，張守自端明殿學士、同簽書樞密院事遷中大夫，除參知政事。趙鼎自朝奉大夫、御史中丞遷端明殿學士，除簽書樞密院事。八月辛未朔，謝克家自禮部尚書遷中大夫，除參知政事。十月己丑，李回自端明殿學士、權同知三省樞密院事遷中大夫，除同知樞密院事。十一月戊申，富直柔自御史中丞除簽書樞密院事。	五月乙卯，王綯罷參知政事。甲子，周望罷同知樞密院事及兩浙宣撫使，授提舉江州太平觀。十一月甲辰，趙鼎罷簽書樞密院事。
1131	紹興元年辛亥	八月丁亥，秦檜自參知政事授通奉大夫、守右僕射、同平章事兼知樞密院事。九月癸丑，呂頤浩自鎮南軍節度使、開府儀同三司、江東路安撫大使授少保、左僕射、同平章事兼知樞密院事。 范宗尹 呂頤浩 秦檜	七月癸亥，范宗尹罷右相，授觀文殿學士、提舉洞霄宮。九月，汪伯彥復正議大夫、觀文殿學士、江東安撫大使、知池州。	二月辛巳，秦檜自試禮部尚書兼侍讀遷中大夫，除參知政事。八月己卯，富直柔自端明殿學士、簽書樞密院事除同知樞密院事。李回自中大夫、同知樞密院事除參知政事。十月庚午，孟庾自試戶部尚書、中大夫除參知政事。	正月辛亥，謝克家罷參知政事，以資政殿學士提舉洞霄宮。八月己卯，張守罷參知政事，以資政殿學士提舉洞霄宮。九月癸丑，李回罷，以資政殿學士、江南西路安撫大使兼知洪州。十一月戊戌，富直柔罷同知樞密院事，以中大夫提舉臨安府洞霄宮。
1132	二年壬子	九月己丑，朱勝非自觀文殿大學士、提舉萬壽觀兼侍讀除左宣奉大夫、右僕射、同平章事兼知樞密院事。呂頤浩秦檜朱勝非	二月庚午，詔李綱為湖廣宣撫使兼知潭州。八月甲寅，秦檜罷右相，以觀文殿學士提舉江州太平觀。	四月庚午，翟汝文自翰林學士承旨、左中大夫、知制誥除參知政事。元年十二月，詔文階繫銜復分左右。五月辛酉，權邦彥自左朝議大夫、試兵部尚書遷端明殿學士，除簽書樞密院事。	六月，翟汝文由參知政事致仕。
1133	三年癸丑	七月癸酉，朱勝非以右僕射起復，仍知樞密院事。呂頤浩朱勝非	四月庚寅，朱勝非以母憂去位。九月戊午，呂頤浩罷左相，以鎮南軍節度使、開府儀同三司提舉臨安府洞霄宮。	二月辛亥，席益自工部尚書遷中大夫，除參知政事。徐俯自翰林學士、左中大夫、知制誥遷端明殿學士，除簽書樞密院事。五月丁卯，韓肖冑自太中大夫、吏部侍郎遷端明殿學士，除同簽書樞密院事。	　
1134	四年甲寅	九月癸酉，趙鼎自知樞密院事除左通奉大夫、右僕射、同平章事兼知樞密院事。 朱勝非 趙鼎	九月庚午，朱勝非罷右相，聽持餘服，候服闋，除觀文殿大學士、提舉洞霄宮。	三月戊午，趙鼎自江南西路安撫大使遷中大夫，除參知政事。七月戊申朔，胡松年自左朝奉大夫、試吏部尚書遷端明殿學士，除簽書樞密院事。九月甲戌，沈與求自試吏部尚書兼權翰林學士遷中大夫，除參知政事。十一月乙未，張浚自資政殿學士、左通奉大夫、提舉萬壽觀兼侍讀除知樞密院事。	正月癸酉，韓肖冑罷同簽書樞密院事。二月癸未，席益罷參知政事，以資政殿學士提舉江州太平觀。三月乙丑，張浚罷知樞密院事，以資政殿大學士提舉洞霄宮。四月丙午，徐俯罷簽書樞密院事，提舉臨安府洞霄宮。
1135	五年乙卯	二月丙戌，趙鼎自右僕射授左宣奉大夫、守左僕射、同平章事兼知樞密院、都督諸路軍馬。張浚自知樞密院事授左宣奉大夫、守右僕射、同平章事兼知樞密院事、都督諸路軍馬。 趙鼎 張浚	　	四月己丑，孟庾自左通奉大夫、參知政事除知樞密院事，依舊兼總制司。	閏二月，胡松年罷簽書樞密院事。七月己卯，孟庾罷知樞密院事，以觀文殿學士知紹興府。
1136	六年丙辰	張浚 趙鼎	十二月乙巳，趙鼎罷左相，以觀文殿大學士知紹興府。	三月，折彥質自左朝議大夫、試兵部尚書、諸路軍馬事都督府參謀遷端明殿學士，除簽書樞密院事。十二月辛亥，張守自資政殿學士、提舉洞霄宮，除參知政事。	二月癸亥，沈與求罷參知政事，以資政殿學士知明州。十二月丙午，折彥質罷簽書樞密院事。
